dev_type,count,year
Full-stack web developer,6765,2017
Student,2845,2017
Back-end web developer,2104,2017
Desktop developer,1735,2017
Front-end web developer,1242,2017
Mobile developer - Android,847,2017
Mobile developer - iOS,634,2017
Embedded application developer,609,2017
Enterprise level services developer,599,2017
Developer with a statistics or mathematics background,464,2017
Data scientist,409,2017
Mobile developer,376,2017
"Executive (VP of Eng., CTO, CIO, etc.)",376,2017
System administrator,344,2017
DevOps,322,2017
Business intelligence or data warehousing expert,179,2017
Graphics programmer,164,2017
Quality Assurance,164,2017
Product manager,157,2017
Designer,150,2017
Machine learning developer,145,2017
Database administrator,119,2017
Growth hacker,59,2017
Mobile developer - Windows Phone,43,2017
Full-stack web developer,13886,2018
Back-end web developer,6061,2018
Student,5619,2018
Desktop developer,3390,2018
Front-end web developer,2873,2018
other,2585,2018
Enterprise level services developer,1471,2018
Mobile developer - Android,1462,2018
Mobile developer,1373,2018
Embedded application developer,1268,2018
Mobile developer - iOS,1245,2018
DevOps,1074,2018
Developer with a statistics or mathematics background,960,2018
"Executive (VP of Eng., CTO, CIO, etc.)",888,2018
Data scientist,800,2018
System administrator,745,2018
Engineering manager,697,2018
Analyst,570,2018
Business intelligence or data warehousing expert,392,2018
Machine learning developer,385,2018
Quality Assurance,379,2018
Product manager,333,2018
Designer,333,2018
Graphics programmer,293,2018
Database administrator,258,2018
Growth hacker,120,2018
Mobile developer - Windows Phone,59,2018
Other,2694,2019
Mobile developer,8326,2019
Graphics programming,1731,2019
Desktop applications developer,10435,2019
Web developer,26235,2019
Embedded applications/devices developer,3352,2019
DevOps specialist,4015,2019
Quality assurance engineer,1252,2019
Data scientist,3045,2019
Machine learning specialist,1379,2019
Developer with a statistics or mathematics background,4091,2019
Database administrator,5192,2019
Systems administrator,4086,2019
Graphic designer,1426,2019
Full-stack developer,44353,2019
Database administrator,13216,2019
DevOps specialist,9549,2019
System administrator,10375,2019
Engineering manager,5256,2019
Data or business analyst,7559,2019
Desktop or enterprise applications developer,15807,2019
Game or graphics developer,4642,2019
QA or test developer,6194,2019
Student,15732,2019
Back-end developer,53300,2019
Front-end developer,34822,2019
Designer,12019,2019
"C-suite executive (CEO, CTO, etc.)",3491,2019
Mobile developer,18804,2019
Data scientist or machine learning specialist,7088,2019
Marketing or sales professional,1122,2019
Product manager,4316,2019
Embedded applications or devices developer,4819,2019
Educator or academic researcher,3641,2019
"Developer, desktop or enterprise applications",17316,2020
"Developer, front-end",26649,2020
Designer,9182,2020
"Developer, back-end",40665,2020
"Developer, full-stack",42222,2020
Academic researcher,5930,2020
"Developer, mobile",14698,2020
Data or business analyst,6294,2020
Data scientist or machine learning specialist,6460,2020
Database administrator,9520,2020
"Engineer, data",5819,2020
"Engineer, site reliability",2951,2020
"Developer, QA or test",6359,2020
DevOps specialist,8862,2020
"Developer, game or graphics",4439,2020
Educator,4492,2020
Student,11921,2020
Engineering manager,4202,2020
Senior executive/VP,2107,2020
System administrator,8929,2020
"Developer, embedded applications or devices",7248,2020
Product manager,4032,2020
Scientist,3617,2020
Marketing or sales professional,975,2020
"Developer, desktop or enterprise applications",11784,2020
"Developer, full-stack",27125,2020
"Developer, mobile",9482,2020
Designer,5321,2020
"Developer, front-end",18296,2020
"Developer, back-end",27228,2020
"Developer, QA or test",3947,2020
DevOps specialist,5969,2020
"Developer, game or graphics",2789,2020
Database administrator,5722,2020
"Developer, embedded applications or devices",4750,2020
"Engineer, data",3738,2020
Educator,2928,2020
System administrator,5242,2020
Engineering manager,2724,2020
Product manager,2497,2020
Data or business analyst,4024,2020
Academic researcher,3552,2020
Data scientist or machine learning specialist,3988,2020
Scientist,2086,2020
Senior executive/VP,1320,2020
"Engineer, site reliability",1940,2020
Marketing or sales professional,642,2020
