,location,domain_profile,company_name,about_the_work_from_home_job/internship,skill(s)_required,who_can_apply,perks,number_of_openings,company_details,start_date,duration,stipend,apply_by,applicants,other_requirements,about_the_internship,additional_information,is_part_time,about_part_time_job/internship
0,Work From Home,Web Development,Perfect Skills,"Selected intern's day-to-day responsibilities include: 

1. Working with the team/client to design, develop and debug applications
2. Work on updating/developing applications in WordPress, PHP, HTML/CSS/Js
3. Creating and maintaining technical documentation
4. Contributing in all phases of the development lifecycle","PHP
HTML
CSS
JavaScript
Python
WordPress","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 30th Jun'21 and 4th Aug'21
3. are available for duration of 4 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week",2,"Website;Perfect Skills is committed to helping recruitment teams across the globe to assess skills and predict job success. By reimagining assessments, we at Perfect Skills make recruiter's life easier by offering perfect solutions to gain the candidates with the right set of skills that promote growth at work. Also, our company helps employee-students to overcome functional skill challenges by providing resources to gain a practical understanding of the work in any company.",Starts immediatelyImmediately,4 Months,5000 /month,14 Jul' 21,46 applicants,,,,0,
1,Work From Home,Web Development,Geekster,"Selected intern's day-to-day responsibilities include:

1. Curating compelling & effective content for HTML, CSS, JavaScript, React/Angular, React Native, Node, and Express
2. Consulting/Working with educators to develop materials that are effective and proven to drive performance
3. Adhering to project plans, tasks, deliverables, and timelines","HTML
CSS
JavaScript
AngularJS
Node.js
ReactJS","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 28th Jun'21 and 2nd Aug'21
3. are available for duration of 3 months
4. have relevant skills and interests","Certificate
 Flexible work hours",1,"Website;Geekster is on a mission to redefine tech education in the country. We aim to truly democratize tech education with no physical, geographical, or financial barriers. Our students can learn online from anywhere and do not have to pay until they get a well-paying job with a leading tech company.",Starts immediatelyImmediately,3 Months,15000 /month,13 Jul' 21,53 applicants,"1. Should have hands-on experience with Node.js, ReactJS, and Angular.js
2. Should have experience in building RESTful APIs and web services
3. Should have hands-on experience with MongoDB and deployment tools
4. Should be proficient with web development technologies, object-oriented concepts, and design patterns",,,0,
2,Work From Home,Backend Development,Global Free School,"Selected intern's day-to-day responsibilities include: 

1. Constructing backend DB structures
2. Working on both backend and frontend of a website
3. Developing APIs for mobile application","PHP
MySQL
HTML
CSS
JavaScript
jQuery
CodeIgniter
NoSQL
LARAVEL
REST API","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 20th Jun'21 and 25th Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests","Certificate
 Letter of recommendation",2,"Website;We are a team of IIT graduates working on digitizing ed-tech in India. With the internet penetrating every city, free school education can be delivered with the help of the internet. We are one of the fastest-growing ed-tech companies aiming to reduce the financial burden on parents and making education accessible to everyone. The founders themselves come from very humble backgrounds, and being students of IIT, they provide a world-class education to everyone in a simplified way.",Starts immediatelyImmediately,6 Months,10000 /month,4 Jul' 21,54 applicants,,,,0,
3,Mumbai,Web Development,Knitroot India Private Limited,,WordPress,"Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 22nd Jun'21 and 27th Jul'21
3. are available for duration of 1 month
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Flexible work hours
 Informal dress code",1,Website;We specialize in occasion-based merchandising for little kids. Customization and personalization are our USPs. Simply visit our website and know in detail about every product we manufacture and sell.,Starts immediatelyImmediately,1 Month,5000 /month,13 Jul' 21,38 applicants,1. Candidates who have experience of 1 year in UI/UX design would be preferred,Selected intern's day-to-day responsibilities include working on website development and using your knowledge of UI/UX design to create designs for our WordPress website.,,0,
4,Work From Home,Web Development,FitnessForce,"Selected intern's day-to-day responsibilities include:

1. Work with both front and back end programming
2. Develop and design web architecture and ensure the responsiveness of applications","Python
Node.js
ReactJS","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 21st Jun'21 and 26th Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Letter of recommendation
 Flexible work hours
 5 days a week",2,"Website;FitnessForce is a SaaS-based CRM club management software. FitnessForce club management software helps gym owners seek a reliable and effective solution to all their clubs' marketing activities, ranging from the highly crucial and tedious ones to infinitesimal ones.",Starts immediatelyImmediately,6 Months,10000 /month,5 Jul' 21,66 applicants,"1. Looking for a fresher computer programmer intern
2. Fresher 2021 graduate with knowledge of React, Node, and proficiency with fundamental languages preferably Python",,,0,
5,Work From Home,Mobile App Development,D2R Tech Private Limited,"Selected intern's day-to-day responsibilities include:

1. Working with PHP and MySQL to design, develop and debug web applications
2. Integrating back-end services with PHP/JS-based front end needs
3. Integrating with APIs
4. Creating and maintaining technical documentation","Node.js
NoSQL
SQLite
React Native
Android
ReactJS","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 24th Jun'21 and 29th Jul'21
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation",1,D2R Tech Private Limited is a bootstrapped private limited startup. The organization aims to set up various services verticals and build products.,Starts immediatelyImmediately,3 Months,5000-7000 /month,8 Jul' 21,Be an early applicant,"1. Must be able to exhibit their working knowledge on building mobile apps with the React Native platform
2. Must have sound knowledge of designing the apps on Figma/Canva
3. Must be able to exhibit their working knowledge on integrating React Native apps with a native (SQLite) and remote database (Mongo or any other remote SQL or NO-SQL DB)
4. Must be excited to work in a startup culture
5. Must have strong knowledge of OOPS and software development",,We are looking to onboard Interns for our tech product division.,0,
6,Work From Home,Node.js Development,Saaspect Private Limited,"Selected intern's day-to-day responsibilities include: 

1. Work as part of a team in developing applications and services using agile development methods
2. Contribute to the team and organizational improvements in process and infrastructure
3. Work on coding, testing, and operating Node.js based services
4. Use tools and ingenuity to identify and fix defects before they become a problem","MySQL
SQL
MongoDB
Node.js","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 18th Jun'21 and 23rd Jul'21
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Flexible work hours",5,"We are a SaaS-based company providing software solutions for diverse business use cases, enabling and ensuring the client's convenience in business execution and operations. It is rightly said that 'perfection is a myth' and congruently we, at Saaspect Private Limited, envision to reach the least level of imperfection, ultimately resulting to strengthen the core fundamentals and by rooting a strong, healthy, and impactful character of the company, leading to the most desired trait by every organization in this world called 'growth'. We aim not to sell a product or any service; rather, we focus on providing a complete business solution to the brilliant plans of the leaders with all integral means and 100% commitment, following their objective to creating the ideas into reality and thus, encouraging entrepreneurship by directing ourselves to the goal of becoming the fastest growing SaaS company.",Starts immediatelyImmediately,3 Months,5000 /month +  Incentives,2 Jul' 21,70 applicants,,,"Stipend structure: This is a performance-based internship. In addition to the minimum-assured stipend, you will also be paid a performance-linked incentive (2% of project revenue).
During the interview: 

1. It is highly expected from the candidate to be seated in an attentive form
2. Make sure you're well dressed
3. Cameras should be always on",1,
7,Ahmedabad,Technical Consultation,Sirius Dynamics,,"HTML
C++ Programming","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 19th Jun'21 and 24th Jul'21
3. are available for duration of 3 months
4.  are from Ahmedabad
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","5 days a week
 Job offer",5,"Website;Sirius Dynamics is a team of passionate tech experts focused on surpassing client expectations. Sirius Dynamics is an up-and-coming IT company based out of Ahmedabad. We are a team of expert tech professionals that help cater to all your requirements for Microsoft Dynamics-based technology and services. We help clients navigate the complexities of building custom applications through Microsoft Dynamics ERP. Our expertise lies in a range of technologies, including Microsoft Dynamics NAV, AX, CRM, business central, finance, and operations.",Starts immediatelyImmediately,3 Months,8000 /month,3 Jul' 21,Be an early applicant,"1. Should be a team-player
2. In-depth knowledge in the relevant area of expertise
3. Strong communication skills as she/he needs to interpret the information provided by the clients and need to develop relationships with other team members to
4. make the project reach its destination
5. Basic knowledge of computer programming language
6. Ability to learn new technologies
7. Bachelor or masters with IT (2019-2020 pass out)","Selected intern's day-to-day responsibilities include:

1.     Collaborate with the functional consultant to design the system as per clients requirements
2.     Work as the interface between the customer and the technical/development team",,0,
8,Amritsar,Web Development,MITS Solution,,"Java
ReactJS
Angular 7.0","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 22nd Jun'21 and 27th Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests","Certificate
 Flexible work hours
 Informal dress code
 Free snacks & beverages",2,"Website;MITS Solution provides software training courses and job support solutions. We are basically based in the USA, UK, Canada, and now in India as well.",Starts immediatelyImmediately,6 Months,2000 /month,6 Jul' 21,Be an early applicant,,"Selected intern's day-to-day responsibilities include: 

1. Working on websites with different computer languages
2. Making changes in the websites
3. Learning more languages",,0,
9,Work From Home,Blockchain Development,Galiyaraa,Selected intern's day-to-day responsibilities include working on TRC blockchain and other responsibilities as assigned.,"Java
ASP.NET
MS SQL Server
Amazon Web Services (AWS)
Blockchain","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 25th Jun'21 and 30th Jul'21
3. are available for duration of 5 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Flexible work hours
 5 days a week",3,"Website;Galiyaraa is a leading global information technology, consulting, and business process services company. We discover ideas and connect the dots to build a better and bold new future. We will integrate environmental and social principles in our businesses, ensuring that what comes from the people goes back to the people many times over.

Galiyaraa's application services work at the intersection of cloud, mobility, and analytics to create simple, effective, and future-ready digital solutions. We create strong user Interface designs for all devices. And this is not just interfaces. We provide the best quality custom work for our customers.",Starts immediatelyImmediately,5 Months,2000 /month,9 Jul' 21,36 applicants,,,,0,
